query	anton_grade	gpt4v_naive_grade	human_0_grade	human_1_grade	article_id
10p terry without clip	1	1	1	0	742947002
10p terry without clip	2	2	2	2	186264016
10p terry without clip	2	2	2	2	186264014
10p terry without clip	2	2	2	2	186264015
10p terry without clip	2	2	2	2	632784001
10p terry without clip	2	2	1	2	523489013
10p terry without clip	2	2	1	2	523489015
10p terry without clip	2	2	1	2	523489001
10p terry without clip	2	2	1	2	523489019
10p terry without clip	0	0	0	0	186266004
a cover to protect my iphone	2	2	2	2	615749001
a cover to protect my iphone	2	2	2	2	615749002
a cover to protect my iphone	0	0	0	0	934545001
a cover to protect my iphone	2	2	2	2	678571006
a cover to protect my iphone	2	2	2	2	678571011
a cover to protect my iphone	0	0	0	0	934114001
a cover to protect my iphone	2	2	2	2	678571009
a cover to protect my iphone	2	2	2	2	391598061
a cover to protect my iphone	2	2	2	2	647504002
a cover to protect my iphone	2	2	2	2	647504001
airpod case	2	2	2	2	934545001
airpod case	2	2	2	2	934114001
airpod case	2	2	2	2	916926006
airpod case	2	2	2	2	916926003
airpod case	2	2	2	2	904530001
airpod case	2	2	2	2	916926009
airpod case	2	2	2	2	904530004
airpod case	2	2	2	2	904530002
airpod case	2	2	2	2	916926001
airpod case	2	2	2	2	916926005
alice bandeau 2-p	1	1	1	0	609301004
alice bandeau 2-p	1	2	1	0	609301001
alice bandeau 2-p	0	1	0	0	538931002
alice bandeau 2-p	0	0	0	0	697975001
alice bandeau 2-p	1	2	1	0	559647002
alice bandeau 2-p	0	1	0	0	734139001
alice bandeau 2-p	1	1	0	0	710270001
alice bandeau 2-p	0	0	0	0	749420001
alice bandeau 2-p	1	1	0	0	769074005
alice bandeau 2-p	0	0	0	0	891246001
backpacka	2	2	2	2	650509003
backpacka	2	2	2	2	671503001
backpacka	2	2	2	2	878229001
backpacka	2	2	2	2	802373001
backpacka	2	2	2	2	878229003
backpacka	2	2	2	2	897775001
backpacka	2	2	2	2	596006003
backpacka	2	2	2	2	775107001
backpacka	2	2	2	2	382468007
backpacka	2	2	2	2	878229002
bedspread for pet hair	0	0	0	0	661645002
bedspread for pet hair	0	0	0	0	865354001
bedspread for pet hair	0	0	0	0	834127001
bedspread for pet hair	0	0	0	0	804733005
bedspread for pet hair	0	0	0	0	804733010
bedspread for pet hair	0	0	0	0	859940001
bedspread for pet hair	0	0	0	0	851633006
bedspread for pet hair	0	0	0	0	698191001
bedspread for pet hair	0	0	0	0	851633003
bedspread for pet hair	0	0	0	0	804733001
belt for denim skirt	0	1	2	0	733404001
belt for denim skirt	1	2	2	0	800765001
belt for denim skirt	0	1	2	0	827487003
belt for denim skirt	1	2	2	0	754219001
belt for denim skirt	1	2	2	0	808839001
belt for denim skirt	1	2	2	0	720924001
belt for denim skirt	1	2	2	0	827487001
belt for denim skirt	1	1	2	0	872002001
belt for denim skirt	0	2	1	0	747764003
belt for denim skirt	0	0	0	0	623434008
bermudas	0	0	2	1	735122002
bermudas	0	0	2	1	910824001
bermudas	0	0	0	0	635741003
bermudas	2	2	2	2	751598003
bermudas	2	2	2	2	751598001
bermudas	2	2	2	2	751598002
bermudas	2	2	2	2	861514001
bermudas	0	0	0	0	816563005
bermudas	0	0	0	0	701079003
bermudas	0	0	2	1	785643001
birthday tulle	2	2	2	2	782441001
birthday tulle	1	1	2	2	662070001
birthday tulle	1	1	2	2	662070002
birthday tulle	1	1	1	1	793810001
birthday tulle	1	0	0	0	600600001
birthday tulle	0	1	1	1	793812001
birthday tulle	1	1	0	0	525656004
birthday tulle	1	1	0	2	770726001
birthday tulle	2	2	2	2	690200001
birthday tulle	0	0	0	2	894481001
black striped dress	2	2	2	2	615269007
black striped dress	2	2	2	2	860523001
black striped dress	0	0	0	0	621976001
black striped dress	2	2	2	1	708721006
black striped dress	2	2	2	2	794535002
black striped dress	0	1	0	0	593961002
black striped dress	2	2	2	2	866137001
black striped dress	0	0	0	0	547465001
black striped dress	0	0	0	0	683662005
black striped dress	0	0	0	0	561815001
blazers	2	2	2	2	675319001
blazers	2	2	2	2	675319009
blazers	2	2	2	2	675319004
blazers	2	2	2	2	675319007
blazers	2	2	2	2	633225007
blazers	2	2	2	2	682229001
blazers	2	2	2	2	628631001
blazers	2	2	2	2	497358001
blazers	2	2	2	2	682204001
blazers	2	2	2	2	854075001
blue skinny jeans	2	2	2	2	300024017
blue skinny jeans	2	2	2	2	300024056
blue skinny jeans	2	2	2	2	610662002
blue skinny jeans	2	2	2	2	810170001
blue skinny jeans	1	2	2	0	667697001
blue skinny jeans	2	2	2	2	810170018
blue skinny jeans	2	2	2	2	783147003
blue skinny jeans	1	2	2	2	908466001
blue skinny jeans	1	2	2	2	908466003
blue skinny jeans	1	2	2	2	908466002
bo	1	1	2	0	613837004
bo	1	1	2	0	613837003
bo	1	1	2	0	691989003
bo	1	1	2	0	691989004
bo	1	2	2	0	691989005
bo	2	2	2	2	556174005
bo	1	1	2	0	691989002
bo	2	2	2	2	814602001
bo	2	2	2	2	814602002
bo	2	2	2	2	347200001
boho chic skirt	0	0	0	0	838900001
boho chic skirt	0	0	0	0	356289059
boho chic skirt	0	0	0	0	714411001
boho chic skirt	0	0	0	0	356289060
boho chic skirt	0	0	0	0	606132001
boho chic skirt	0	0	0	0	602733005
boho chic skirt	0	0	0	0	822186001
boho chic skirt	0	0	1	0	689029004
boho chic skirt	0	1	1	0	689029005
boho chic skirt	1	1	2	0	875803001
brandon denim cropped	2	2	2	2	250457010
brandon denim cropped	1	1	0	0	805524005
brandon denim cropped	1	1	1	0	426013007
brandon denim cropped	1	1	1	0	788139001
brandon denim cropped	1	1	1	0	853735002
brandon denim cropped	0	1	0	0	805524001
brandon denim cropped	1	1	1	0	838325001
brandon denim cropped	1	1	0	0	805524003
brandon denim cropped	0	0	0	0	593139004
brandon denim cropped	0	1	1	0	776984001
checket jacket	0	0	0	0	686585001
checket jacket	0	0	0	0	686585008
checket jacket	0	0	0	0	686585002
checket jacket	0	1	0	0	613569011
checket jacket	2	2	2	2	550774002
checket jacket	0	2	0	0	878190004
checket jacket	0	0	0	0	686585009
checket jacket	0	0	0	0	484205010
checket jacket	0	1	0	0	484205009
checket jacket	2	2	2	2	703296006
chelsea	1	2	1	1	760957002
chelsea	2	2	1	1	925514001
chelsea	2	2	1	1	604253001
chelsea	1	1	1	1	889082001
chelsea	1	2	1	1	803609002
chelsea	1	2	1	1	803609004
chelsea	1	1	1	1	837257001
chelsea	1	1	1	1	630542005
chelsea	1	1	1	1	630542002
chelsea	1	2	1	1	630542001
complete darkness curtains	0	0	0	0	412664001
complete darkness curtains	0	0	0	0	669901003
complete darkness curtains	0	0	0	0	760931001
complete darkness curtains	0	0	0	0	578534001
complete darkness curtains	0	0	0	0	742745008
complete darkness curtains	0	0	0	0	742745005
complete darkness curtains	0	0	0	0	622012001
complete darkness curtains	0	0	0	0	507987001
complete darkness curtains	0	0	0	0	699492005
complete darkness curtains	0	0	0	0	517474001
cool olja round	2	2	2	2	220365001
